StripCh, AdcCh0, AdcCh1, AdcCh2, AdcCh3, AdcCh4, AdcCh5, AdcCh6, AdcCh7, AdcCh8, AdcCh9, AdcCh10, AdcCh11, AdcCh12, AdcCh13, AdcCh14, AdcCh15, AdcCh16, AdcCh17, AdcCh18, AdcCh19, AdcCh20, AdcCh21, AdcCh22, AdcCh23, AdcCh24, AdcCh25, AdcCh26, AdcCh27, AdcCh28, AdcCh29, AdcCh30, AdcCh31
30, 4.19898, 4.19362, 4.18647, 4.18941, 4.19204, 4.19314, 4.18773, 4.20976, 4.21492, 4.21265, 4.20331, 3.34685, 3.3127, 3.27868, 3.2996, 3.24225, 3.23448, 3.23192, 3.17056, 2.20579, 2.18894, 2.13507, 2.12494, 3.80781, 3.26131, 3.26131, 2.06443, 2.06443, 1.55779, 1.08232, 1.25998, 0, 
31, 4.34968, 4.34096, 4.33292, 4.33565, 4.33792, 4.31144, 4.33232, 4.30362, 4.29063, 4.25708, 4.26735, 4.21882, 3.25001, 3.25522, 3.25262, 3.20362, 3.18322, 2.19349, 2.14723, 2.14468, 2.1244, 2.18021, 2.23881, 2.35375, 2.12666, 2.1042, 2.1042, 1.62365, 1.57501, 1.46729, 1.42288, 2.09046, 
32, 4.40935, 4.41108, 4.41106, 4.40583, 4.39794, 4.39268, 4.36904, 4.34542, 4.32971, 4.32972, 4.31926, 4.2848, 4.25373, 4.26145, 4.21034, 3.30852, 3.28765, 3.26162, 3.30589, 3.54371, 2.1236, 2.12359, 2.16017, 2.16494, 2.11963, 2.11963, 2.11963, 1.58716, 1.58719, 1.24988, 1.04633, 0, 
33, 4.25898, 4.25921, 4.27243, 4.2724, 4.27247, 4.2545, 4.26994, 4.22901, 3.38363, 3.37576, 3.36525, 3.36525, 3.35737, 3.36001, 3.27084, 3.24745, 3.24225, 3.22677, 3.74118, 2.12351, 2.12348, 7.55783, 3.12242, 2.46745, 2.46745, 2.46745, 2.46745, 1.5829, 1.47059, 1.43016, 1.1034, 2.08849, 
34, 4.29915, 4.30698, 4.31201, 4.30656, 4.31682, 4.3062, 4.3142, 4.30101, 4.29063, 4.24682, 4.26995, 4.22644, 4.21628, 3.34948, 3.31271, 3.32058, 3.27606, 3.29174, 3.26823, 3.26301, 3.56014, 4.05865, 2.22166, 2.67113, 2.09904, 1.57776, 2.07082, 1.66425, 1.58481, 1.57103, 1.09573, 0.717574, 
35, 4.28333, 4.28561, 4.28563, 4.26973, 4.26972, 4.27975, 4.28284, 4.27975, 5.09021, 5.07544, 5.12448, 3.32767, 3.33462, 3.2714, 3.28493, 3.27036, 3.20101, 3.23332, 3.25416, 2.13763, 2.13251, 2.12745, 4.25008, 2.13024, 2.11544, 2.11544, 1.72136, 1.59156, 1.51127, 1.57455, 1.10469, 2.09691, 
36, 4.23405, 4.24771, 4.23171, 4.23754, 4.23749, 4.23749, 4.24305, 4.24852, 4.23589, 4.23852, 4.23915, 4.2315, 3.37838, 3.37838, 3.33371, 3.33372, 3.33372, 3.27863, 3.27345, 2.16178, 2.1902, 3.37373, 2.24991, 3.73439, 2.12639, 2.11809, 2.11809, 1.58098, 1.53348, 1.4777, 1.4777, 0, 
37, 4.22067, 4.23192, 4.23494, 4.2293, 4.23824, 4.23815, 4.23546, 4.22389, 4.22896, 4.21882, 3.33109, 3.33109, 3.2839, 3.28389, 3.27345, 3.26824, 3.26824, 3.20362, 3.18645, 3.23152, 2.19575, 2.15704, 8.99715, 2.1235, 2.11856, 2.0174, 2.0174, 1.57714, 1.58331, 1.4871, 1.11575, 2.09788, 
38, 4.25047, 4.26153, 4.26962, 4.26968, 4.27494, 4.27761, 4.27764, 4.28284, 4.28024, 4.28024, 4.28024, 4.22138, 3.35999, 3.29298, 3.31271, 5.17698, 3.23273, 3.23273, 3.32698, 2.15628, 2.16912, 2.14858, 2.13217, 2.12774, 2.26728, 2.10359, 2.10359, 1.94461, 1.59519, 1.58737, 1.20049, 0, 
39, 4.21293, 4.22664, 4.23506, 4.24327, 4.24597, 4.2464, 4.25442, 4.24902, 4.25711, 4.25194, 3.31011, 3.31007, 3.26564, 3.25261, 3.26562, 3.20106, 3.20104, 2.26111, 2.21394, 2.16218, 2.12393, 2.13723, 4.11276, 3.1954, 2.16514, 2.16514, 1.60749, 1.62713, 1.52979, 1.07031, 1.06093, 2.08964, 
