StripCh, AdcCh0, AdcCh1, AdcCh2, AdcCh3, AdcCh4, AdcCh5, AdcCh6, AdcCh7, AdcCh8, AdcCh9, AdcCh10, AdcCh11, AdcCh12, AdcCh13, AdcCh14, AdcCh15, AdcCh16, AdcCh17, AdcCh18, AdcCh19, AdcCh20, AdcCh21, AdcCh22, AdcCh23, AdcCh24, AdcCh25, AdcCh26, AdcCh27, AdcCh28, AdcCh29, AdcCh30, AdcCh31
41, 1.90597,1.87374,1.81353,2.17135,2.74982,2.60553,2.75708,3.91343,4.18954,4.27777,4.57965,4.84358,5.78141,5.34014,5.70109,6.31032,6.21434,6.17783,7.34934,7.98778,8.1693,8.35812,8.814,9.83633,9.46391,9.88954,10.3715,10.794,10.7627,11.9092,12.0114,12.2482,
42, 2.04021,1.61839,1.46165,1.48448,2.3398,2.81833,3.51767,3.33511,3.29964,3.50202,4.38144,3.7357,4.26564,4.48993,5.31266,5.74759,5.786,6.29358,6.59094,6.99153,7.23668,7.71551,8.07958,8.1234,8.04724,8.72845,8.52712,9.36898,9.39402,10.3642,9.66108,9.86033,
43, 2.13164,1.956,1.96852,2.32216,2.47447,3.0451,3.76908,3.17133,4.14881,4.6485,4.95103,4.99797,5.85861,5.77411,5.72508,6.91433,6.29571,7.51,7.85008,8.21937,7.88972,8.87346,9.09462,9.19894,9.87389,9.79356,9.88849,10.5374,11.4564,11.5597,11.6432,11.6713,
44, 2.25777,2.08118,2.10205,2.57044,2.18237,2.24184,3.19115,2.81038,3.63555,3.26522,4.6485,4.67667,5.24312,5.24521,5.21496,6.14445,5.80436,6.51165,6.76411,6.81836,7.10002,7.40255,8.20894,8.06811,8.24441,8.77748,9.47017,9.22919,10.0971,10.215,10.5113,10.3892,
45, 2.03636,2.27313,1.39684,2.09475,2.63408,3.36015,3.00546,3.53958,4.51601,4.65267,4.733,4.85923,5.92955,5.46637,5.77203,6.75055,7.22938,7.36082,7.28154,7.87825,8.08689,8.25797,9.38984,10.1253,10.0731,10.0418,10.4956,10.8983,11.0955,11.0423,11.8873,11.3563,
46, 1.95933,0.975392,1.51473,2.03463,2.40624,2.47371,3.3372,2.95852,3.66685,3.76804,4.43451,4.31885,4.61824,4.89019,5.27218,5.80124,5.33135,6.49392,6.54608,6.45115,6.43759,7.30136,7.91997,7.87407,7.99091,8.92771,8.63039,9.0289,9.33247,9.40028,9.97299,10.1284,
47, 2.19139,0.93888,1.92979,3.14733,2.50291,2.90114,3.30486,3.92452,4.28338,5.08143,5.18679,5.23269,5.66979,6.41985,6.77871,6.99153,6.75889,7.07081,7.38064,7.79166,8.58241,9.39297,8.99656,9.93961,9.71741,9.96882,10.6594,11.3855,10.8994,11.7902,11.6296,12.4548,
48, 1.73422,1.71189,2.06658,2.12396,2.45987,2.64034,2.64556,3.15985,3.64181,3.88801,4.24582,4.60573,4.3491,4.9938,5.38917,5.85131,5.52061,6.13506,6.5659,7.2252,7.27319,7.24398,7.81774,7.92206,8.09523,8.61892,8.81504,9.06645,9.5265,9.2438,9.76957,10.8002,
49, 2.00359,1.79173,1.80627,2.25469,2.60553,3.26313,3.60321,3.74822,4.14672,4.84149,5.51644,4.98441,5.26503,5.45594,5.94833,5.85444,7.16991,7.55381,6.88408,8.4228,8.26319,8.16513,9.20833,8.95796,10.262,10.3339,10.0773,10.6928,10.6918,11.9582,11.9499,11.5785,
50, 2.16336,1.72024,2.06345,2.43587,2.22723,2.54854,2.60904,3.78473,3.65016,3.94225,4.59843,4.4023,4.12377,4.89782,5.02509,5.36622,6.12984,5.8753,6.93624,6.76828,7.29927,7.2565,7.73637,7.86677,7.85112,8.331,8.31639,9.03933,9.50042,9.49729,9.5338,10.2766,
51, 2.06718,1.39625,2.07701,2.16047,2.71128,3.24018,3.20262,3.06909,4.17697,4.39396,4.63911,5.58321,5.76159,5.85235,5.385,6.50435,7.58719,7.5319,7.40568,7.90224,8.49895,8.3915,9.16138,8.98091,10.0137,10.2682,9.83007,10.8597,10.7961,11.3281,11.7861,11.8007,
52, 2.09718,1.06719,1.60282,1.71804,2.22043,2.58922,3.29685,3.00963,3.42349,4.25701,4.1366,4.56087,5.07412,5.45594,5.6385,5.91599,6.18409,6.36769,6.74324,6.78184,7.18973,7.51,7.63518,7.97839,8.51668,8.1839,9.15199,8.77644,9.57658,9.71219,10.4247,10.6438,
53, 2.07066,1.19968,1.94452,2.41084,2.99294,2.46612,3.42483,3.84002,4.08621,4.03927,5.48202,4.68397,5.45594,5.84401,6.26963,6.20913,6.95084,7.7322,8.2079,7.82609,8.02847,8.30179,8.62726,9.30117,9.80295,9.69133,10.3778,11.2686,10.5958,11.47,11.2686,12.0354,
54, 1.97268,1.78074,1.86837,1.98999,2.01906,2.82144,2.68754,3.22662,3.47539,4.04422,4.45942,4.11999,4.66598,5.09468,5.28775,5.44657,5.96084,6.10168,6.63371,7.09376,7.0729,7.24398,7.55381,8.00343,7.6404,8.69403,9.21772,9.0748,9.27926,10.2098,9.7873,10.2839,
55, 1.95534,1.9633,2.1758,2.5692,2.67612,2.86608,3.48116,3.46342,3.59069,4.45238,5.08769,5.09499,5.63224,5.49245,6.3583,6.23938,7.20538,7.44532,7.31388,8.16617,7.88138,8.57406,8.45305,9.18433,9.74349,9.83216,10.8222,10.7105,10.9286,11.1894,11.7809,11.6734,
56, 2.10611,1.24767,2.19698,2.03946,2.95015,2.86192,3.2141,3.40083,3.80246,3.77847,4.45133,4.93747,4.75491,4.9239,5.19201,5.33388,5.74908,6.74637,6.75472,6.8267,6.69004,7.40046,7.48287,8.24754,8.04724,8.16513,8.99134,9.00699,9.49521,9.60996,9.91875,10.6166,
57, 2.13499,1.87463,2.04989,2.31593,3.19428,3.02424,3.28817,3.34763,3.78577,4.47428,4.2573,5.45594,5.66562,5.95041,5.59468,6.55234,7.56946,7.17409,8.23085,8.3915,7.77184,8.38211,9.05915,9.33977,9.31891,9.90518,10.0064,10.7293,11.4846,11.2353,12.3317,12.1053,
58, 1.94873,1.2727,1.67851,2.45882,2.15942,2.66016,3.79725,3.41126,3.40605,4.08621,4.38457,4.03092,4.98858,4.86548,5.8993,5.3464,6.1434,6.10063,6.50018,6.58572,7.0416,7.91997,7.43384,7.6404,8.09732,8.85677,8.41132,9.39402,10.5468,9.85824,9.84364,10.3099,
59, 2.09099,1.78283,1.96643,2.41396,2.58818,3.04301,3.24018,3.82124,3.76908,4.75804,4.69336,4.96563,5.15549,6.29154,6.50957,6.95293,7.03117,7.13027,7.83965,8.11818,8.18495,8.72011,8.87868,9.72784,9.54424,10.8451,10.1222,10.6344,10.9411,11.5712,12.4454,11.8581,
60, 1.97051,1.39163,1.57732,1.6806,2.15525,3.33302,3.19011,3.60008,3.38727,3.63764,3.94643,4.26669,5.11898,4.97919,5.79498,5.75012,6.03283,6.38125,6.7495,7.36499,6.60137,7.56842,7.52043,8.10566,8.30596,8.70342,9.22606,8.65543,9.55363,9.64334,10.5301,10.2599,
61, 2.08471,2.28669,1.58879,2.66329,2.79995,3.42378,3.31842,3.44569,4.27086,3.94225,5.17427,4.84462,5.37352,4.97815,6.31136,6.72551,6.79019,7.25859,7.71446,8.15991,7.97631,8.92145,9.18746,10.0387,9.64647,10.4414,10.6135,10.504,11.1862,11.8038,11.325,12.2054,
62, 1.92156,1.69311,2.10831,2.53185,1.98104,2.63408,2.48595,3.28608,3.37997,3.78264,4.57983,5.37978,4.00166,5.36309,5.16384,5.78872,5.98171,6.17679,6.88095,6.96962,6.55443,7.48809,7.28675,8.17347,8.61892,8.68986,8.94648,9.18955,9.28552,9.98968,10.3079,10.4424,
63, 1.27145,2.17165,2.12597,2.86358,3.1442,3.94353,4.98258,4.34213,4.94106,5.37665,6.14236,5.88678,6.09437,6.61076,7.28884,7.65292,7.91684,8.65856,8.95796,8.74932,9.23023,9.89162,10.3152,10.8242,10.8482,10.6156,11.6066,11.785,12.3369,12.9618,12.9618,12.9621,
64, 2.03361,1.31756,2.09892,2.08744,2.48073,2.77804,3.39666,4.02884,3.60426,3.8129,4.30842,4.30633,4.5518,5.03033,4.86009,6.13715,6.07977,5.7063,6.29571,6.63997,6.82044,7.66687,7.49018,8.05455,7.93354,8.13905,9.16451,9.26466,9.31265,9.47017,9.98655,10.6127,
65, 2.28391,1.63052,2.41396,2.23558,2.74049,3.08266,3.55001,4.02571,4.15715,4.11229,4.45527,5.24519,5.15696,6.28215,5.80541,6.3051,7.29301,7.35456,8.48852,8.26632,8.9058,8.89745,9.30326,9.26883,9.63291,9.83112,10.8608,10.9223,10.964,11.3385,11.5378,12.0135,
66, 2.0299,1.17673,1.68685,2.23245,2.35242,2.20324,2.58818,3.14212,3.5667,3.92452,4.10708,4.639,4.63173,5.04804,5.25564,5.77411,5.50288,6.37187,5.96293,6.32492,7.22833,7.60493,7.43071,8.162,8.40089,8.43532,8.89328,9.09253,9.54945,9.35542,9.70489,10.0575,
67, 2.25721,1.53559,1.89862,2.63199,2.51203,4.1148,3.42587,3.80547,4.1366,4.86027,5.31093,4.44904,4.74865,5.53939,6.29258,6.99048,7.37751,7.12401,7.47974,8.00865,8.23502,8.54381,9.61204,9.16868,9.88328,10.0481,9.79356,10.263,11.0099,11.1351,11.5941,11.7506,
68, 1.99279,1.92157,1.956,2.51523,2.24431,2.91279,2.62941,3.38205,3.4436,3.62303,4.08677,4.6172,4.74656,4.95416,5.49036,5.85861,5.72717,6.24042,7.24085,7.01552,6.91329,7.03117,7.3869,7.6091,8.39046,8.84842,8.89119,9.19059,9.81338,9.73514,10.1243,10.5874,
69, 2.06006,1.91219,1.79952,3.22662,2.41246,2.49966,3.07014,3.78056,4.72674,4.85818,5.32345,5.48723,5.87322,5.85548,6.41672,6.94771,6.97171,7.09793,8.01386,7.77184,8.2298,8.73784,9.32099,9.4347,10.0836,9.7028,10.9786,11.1247,10.8336,12.0907,12.0479,12.5069,
70, 2.12725,1.42428,1.71804,1.85194,2.15089,2.18099,2.89175,3.19845,3.49681,3.84211,4.39917,4.54314,4.93016,4.30216,4.92808,5.97858,5.8993,5.48932,6.50644,6.53356,7.08959,8.03368,8.01595,7.88033,8.11714,8.51564,8.84529,9.68716,9.79878,10.1691,10.0857,10.6845,
71, 2.14742,1.29983,1.55437,2.32947,2.63875,2.76435,3.2273,3.38197,4.17697,4.37309,4.83419,5.361,5.44968,6.17157,6.01405,6.04221,7.0343,7.38064,7.39316,8.0003,8.05768,8.78896,9.65169,8.55841,9.65273,9.88432,10.6772,10.6855,10.9025,11.1612,11.687,12.2659,
72, 1.88283,1.68685,2.37641,2.16673,2.27522,2.65744,3.47539,3.12869,3.90678,3.98294,4.03927,3.86819,4.07891,4.92286,5.30884,5.56234,5.71256,5.55504,6.69421,6.58572,7.30866,7.41194,7.73741,7.99404,7.8386,8.05142,8.8985,8.83069,9.33455,10.1222,9.56197,10.4904,
73, 2.0361,1.54289,1.58358,2.38371,2.50681,3.1442,3.18802,3.81394,4.01736,4.66415,4.56817,5.15445,5.55713,5.6604,6.00049,6.1288,6.67335,7.62684,7.30866,7.1261,7.56529,8.3529,8.90893,10.3287,9.60683,10.0617,10.5645,10.7533,11.011,11.7725,11.9676,12.6227,
74, 2.15332,1.46987,1.97686,2.13647,2.2095,2.64556,2.86567,3.51037,3.58444,3.58131,4.36579,4.68084,4.73613,4.90304,5.2692,5.79393,6.10898,6.40733,6.4282,6.45532,7.11358,7.31492,7.41402,8.31117,8.52399,9.02368,9.38984,8.62309,9.23336,9.86137,9.78313,10.6573,
75, 2.23835,2.0791,2.03841,2.70293,2.59757,2.74883,3.6512,3.57713,4.45551,4.28755,4.31676,5.04387,5.46428,5.26816,6.28737,6.53982,7.24085,7.37334,7.82087,7.88868,8.66169,8.47809,8.94648,8.61057,9.32829,9.76018,10.2599,10.6469,11.2958,11.6411,11.495,12.3202,
76, 1.89329,2.12597,1.85298,2.03878,2.71023,2.51098,2.67685,3.43943,3.67624,3.92452,3.93495,4.4722,5.47784,4.74343,5.63537,4.75178,6.49809,6.82566,6.87677,6.71508,7.01865,7.72072,7.30762,8.11923,8.37064,8.48435,8.69716,9.2438,9.53902,10.0429,9.90936,10.5175,
77, 1.93672,1.64538,2.10314,2.49325,2.35537,3.00546,3.55731,3.32364,4.12064,4.62451,5.07204,5.00945,4.81958,5.59677,5.77411,6.81523,7.40463,7.13653,7.60701,8.23502,8.95379,8.87972,9.47747,9.50772,8.95796,10.8681,9.68924,10.5843,10.9494,11.4053,11.9853,12.5048,
78, 2.25577,1.86107,2.27856,2.37406,2.43842,2.20279,3.38518,3.49472,3.26313,3.41126,4.10082,4.71477,5.03759,5.20886,5.64163,5.99527,6.1601,6.53043,6.77976,6.68483,7.39837,7.10836,7.97318,8.27884,8.62518,8.3769,9.06854,9.3961,9.20937,9.93648,10.2536,10.1608,
79, 1.9673,1.71502,2.27337,2.38963,3.18176,2.86358,3.63034,3.40188,3.70336,4.14283,5.18888,4.83836,5.22226,6.79332,5.52479,6.9571,7.10419,7.53921,8.03681,8.12444,7.35352,9.1812,8.48852,8.88806,9.84885,9.97091,10.7189,11.2123,10.9025,11.2092,11.6619,11.543,
80, 2.03617,1.27792,1.92356,1.73049,2.27,2.82081,3.01798,3.80038,3.32989,4.08726,4.15298,4.40543,4.38561,5.19096,5.2087,5.70109,5.58529,5.64997,6.84861,6.4355,7.02282,7.61119,7.80314,7.68108,8.86929,8.36751,8.99656,9.36402,9.17077,9.6496,9.86554,9.89892,
