StripCh, AdcCh0, AdcCh1, AdcCh2, AdcCh3, AdcCh4, AdcCh5, AdcCh6, AdcCh7, AdcCh8, AdcCh9, AdcCh10, AdcCh11, AdcCh12, AdcCh13, AdcCh14, AdcCh15, AdcCh16, AdcCh17, AdcCh18, AdcCh19, AdcCh20, AdcCh21, AdcCh22, AdcCh23, AdcCh24, AdcCh25, AdcCh26, AdcCh27, AdcCh28, AdcCh29, AdcCh30, AdcCh31
2.3699,1.18299,1.26227,1.33738,2.48409,2.53495,2.4571,3.18371,2.77784,3.80038,3.6199,4.16341,4.19471,5.03866,4.09352,4.96042,5.65623,5.79811,6.41881,6.49288,7.09689,6.97066,7.10002,8.40089,8.51251,8.07332,8.49269,8.58136,9.30221,9.63291,9.79356,10.4988,
2.60131,1.20594,1.89862,0.417112,1.43857,2.06136,2.73321,3.68145,3.37788,3.90678,3.54062,4.5217,5.26399,5.33701,5.73551,5.71048,6.45845,6.17887,6.65979,8.01699,7.96588,8.06081,8.61683,8.73158,8.8985,8.71802,9.74036,10.2713,11.1737,10.6938,10.8462,11.5409,
2.34762,1.3572,0.901325,1.7025,2.2022,2.3086,2.22828,3.16403,3.13377,3.94643,3.35076,4.49932,4.61199,5.12003,4.67041,4.89678,5.38396,5.7522,5.82627,5.94689,6.3486,7.21581,7.56529,8.36751,7.75619,8.08689,8.63874,8.84634,9.23232,9.10505,9.65169,9.611,
2.41801,-35.3001,1.50951,2.28461,2.56627,1.89654,2.40875,3.41857,3.50932,3.31425,4.22079,4.08934,4.95207,4.99484,5.2932,5.67188,6.03491,6.58259,6.98214,7.84904,7.42341,7.993,8.75871,8.92145,9.50251,9.77791,9.76122,9.91249,10.8138,10.9484,11.2384,11.4575,
2.28003,0.574174,1.67955,1.86941,2.33155,2.56836,2.50577,2.94495,2.84898,3.20367,3.78473,3.88696,4.19158,4.78307,5.22122,4.80185,5.04074,6.20495,6.24981,6.41777,6.73907,7.26276,7.37125,7.40776,7.96379,8.34038,9.02577,8.19329,8.40697,9.85824,10.0825,10.2067,
2.22269,1.02257,1.34747,1.91526,2.19281,2.38684,2.53811,2.78326,3.53123,4.17176,4.65997,4.71109,5.28798,5.44863,4.81124,6.19974,6.41568,6.6817,6.70986,7.11358,7.15218,7.98674,8.20477,8.45514,9.69237,9.04037,10.0815,9.66942,10.2943,10.8566,11.2749,11.9186,
2.08528,1.21637,1.21637,1.92252,2.36575,2.19863,2.64809,2.64083,3.18698,3.2673,4.27295,3.79933,4.67667,4.59947,4.94581,4.9239,5.70004,5.85861,5.92225,6.27068,6.46262,6.82148,7.40672,7.44115,8.42906,8.8213,8.77331,8.81608,9.77374,9.55676,9.56406,9.94587,
2.58078,1.58879,0.986867,1.60444,1.81725,2.57044,2.58088,3.27043,3.24122,3.76595,3.92452,4.27399,4.97711,4.97085,5.49036,6.50748,6.20495,6.92998,6.94876,7.50269,8.15469,8.1693,9.0122,8.97048,9.31265,9.91144,10.4883,10.2943,10.3871,11.3218,10.9077,11.4877,
2.21389,0.771072,1.12353,1.99251,1.63365,2.12708,2.91679,2.86671,2.88236,3.44986,3.29547,4.14776,4.03614,5.09916,5.36413,5.3318,5.37561,5.85548,5.75116,6.83296,6.81836,7.57572,7.824,7.74993,8.07958,7.79688,8.93396,9.22815,8.64813,9.68924,9.3575,10.5301,
2.47627,0.918016,1.22706,1.56063,2.73631,2.92826,2.94078,3.16403,3.50515,4.1342,4.06431,4.67562,4.61512,5.16593,5.43924,6.3969,6.2665,6.65875,7.36082,7.6164,7.2106,8.08063,7.62579,7.85217,9.46913,9.57032,9.48686,9.95108,10.4852,10.9056,11.3083,11.5566,
